exception_id,invoice_id,payment_id,exception_type,invoice_amount,payment_amount,amount_difference,confidence_score,severity,reason,recommended_action
EXC-00001,INV-2024-00007,PMT-100007,DATE_MISMATCH,1193.49,1193.49,0.0,71.72,MEDIUM,Payment date is 53 days from the invoice due date.,CHECK BANK STATEMENT
EXC-00002,INV-2024-00010,PMT-100010,DATE_MISMATCH,6739.1,6739.1,0.0,71.61,MEDIUM,Payment date is 50 days from the invoice due date.,CHECK BANK STATEMENT
EXC-00003,INV-2024-00016,PMT-100016,PARTIAL_PAYMENT,1849.37,774.63,1074.74,68.1,HIGH,"Payment of ₹774.63 covers only part of the invoice of ₹1,849.37.",CONTACT CUSTOMER
EXC-00004,INV-2024-00019,PMT-100020,MISSING_REFERENCE,622.79,622.79,0.0,87.29,LOW,"Payment amount and customer signals are strong, but the invoice reference is missing.",REVIEW PAYMENT
EXC-00005,INV-2024-00020,PMT-100079,AMOUNT_MISMATCH,7615.6,8545.38,-929.78,59.98,MEDIUM,Payment is ₹929.78 higher than invoice amount.,REVIEW PAYMENT
EXC-00006,INV-2024-00026,PMT-100026,DATE_MISMATCH,9207.01,9207.01,0.0,71.9,MEDIUM,Payment date is 74 days from the invoice due date.,CHECK BANK STATEMENT
EXC-00007,INV-2024-00030,PMT-100030,DATE_MISMATCH,2556.17,2556.17,0.0,71.84,MEDIUM,Payment date is 51 days from the invoice due date.,CHECK BANK STATEMENT
EXC-00008,INV-2024-00032,PMT-100055,AMOUNT_MISMATCH,1512.83,1540.71,-27.88,66.43,MEDIUM,Payment is ₹27.88 higher than invoice amount.,REVIEW PAYMENT
EXC-00009,INV-2024-00034,PMT-100045,AMOUNT_MISMATCH,7118.37,8882.97,-1764.6,61.4,HIGH,"Payment is ₹1,764.60 higher than invoice amount.",REVIEW PAYMENT
EXC-00010,INV-2024-00035,PMT-100105,AMOUNT_MISMATCH,5570.48,5938.82,-368.34,62.3,MEDIUM,Payment is ₹368.34 higher than invoice amount.,REVIEW PAYMENT
EXC-00011,INV-2024-00037,PMT-100038,PARTIAL_PAYMENT,8095.19,3707.33,4387.86,66.82,HIGH,"Payment of ₹3,707.33 covers only part of the invoice of ₹8,095.19.",CONTACT CUSTOMER
EXC-00012,INV-2024-00041,PMT-100043,PARTIAL_PAYMENT,4011.68,1448.94,2562.74,63.11,HIGH,"Payment of ₹1,448.94 covers only part of the invoice of ₹4,011.68.",CONTACT CUSTOMER
EXC-00013,INV-2024-00042,PMT-100045,MISSING_REFERENCE,8882.97,8882.97,0.0,88.62,LOW,"Payment amount and customer signals are strong, but the invoice reference is missing.",REVIEW PAYMENT
EXC-00014,INV-2024-00048,PMT-100042,AMOUNT_MISMATCH,1301.71,1326.25,-24.54,75.77,MEDIUM,Payment is ₹24.54 higher than invoice amount.,REVIEW PAYMENT
EXC-00015,INV-2024-00057,PMT-100065,DATE_MISMATCH,4826.12,4826.12,0.0,71.5,MEDIUM,Payment date is 52 days from the invoice due date.,CHECK BANK STATEMENT
EXC-00016,INV-2024-00059,PMT-100053,AMOUNT_MISMATCH,466.62,487.2,-20.58,82.5,MEDIUM,Payment is ₹20.58 higher than invoice amount.,REVIEW PAYMENT
EXC-00017,INV-2024-00066,PMT-100078,PARTIAL_PAYMENT,1254.36,503.24,751.12,68.27,HIGH,"Payment of ₹503.24 covers only part of the invoice of ₹1,254.36.",CONTACT CUSTOMER
EXC-00018,INV-2024-00067,PMT-100079,DATE_MISMATCH,8545.38,8545.38,0.0,71.82,MEDIUM,Payment date is 41 days from the invoice due date.,CHECK BANK STATEMENT
EXC-00019,INV-2024-00071,PMT-100083,MISSING_REFERENCE,8798.47,8798.47,0.0,89.76,LOW,"Payment amount and customer signals are strong, but the invoice reference is missing.",REVIEW PAYMENT
EXC-00020,INV-2024-00072,PMT-100084,MISSING_REFERENCE,9275.15,9275.15,0.0,87.48,LOW,"Payment amount and customer signals are strong, but the invoice reference is missing.",REVIEW PAYMENT
