invoice_id,payment_ids,match_type,invoice_amount,total_paid,notes
INV-2024-00000,PMT-100000,exact_match,859.43,859.43,"Name, amount, and date all align closely."
INV-2024-00001,PMT-100001,exact_match,9291.95,9291.95,"Name, amount, and date all align closely."
INV-2024-00002,PMT-100002,exact_match,1263.3,1263.3,"Name, amount, and date all align closely."
INV-2024-00003,PMT-100003,fuzzy_name,2554.79,2554.79,Payer name 'BRENDA SNYDER PHD' is a variant of 'Brenda Snyder PhD'.
INV-2024-00004,PMT-100004,exact_match,9163.23,9163.23,"Name, amount, and date all align closely."
INV-2024-00005,PMT-100005,exact_match,6787.37,6787.37,"Name, amount, and date all align closely."
INV-2024-00006,PMT-100006,fuzzy_name,4190.05,4190.05,"Payer name 'Rios, Emily' is a variant of 'Emily Rios'."
INV-2024-00007,PMT-100007,date_mismatch,1193.49,1193.49,Payment arrived 53 days after the due date.
INV-2024-00008,PMT-100008,exact_match,3244.91,3244.91,"Name, amount, and date all align closely."
INV-2024-00009,PMT-100009,exact_match,5610.76,5610.76,"Name, amount, and date all align closely."
INV-2024-00010,PMT-100010,date_mismatch,6739.1,6739.1,Payment arrived 50 days after the due date.
INV-2024-00011,PMT-100011,exact_match,686.93,686.93,"Name, amount, and date all align closely."
INV-2024-00012,PMT-100012,exact_match,719.6,719.6,"Name, amount, and date all align closely."
INV-2024-00013,PMT-100013,exact_match,6371.84,6371.84,"Name, amount, and date all align closely."
INV-2024-00014,PMT-100014,exact_match,6885.68,6885.68,"Name, amount, and date all align closely."
INV-2024-00015,PMT-100015,exact_match,2346.32,2346.32,"Name, amount, and date all align closely."
INV-2024-00016,PMT-100016;PMT-100017,partial_payment,1849.37,1472.82,Two installments received; balance remains outstanding.
INV-2024-00017,PMT-100018,exact_match,3398.11,3398.11,"Name, amount, and date all align closely."
INV-2024-00018,PMT-100019,exact_match,8213.26,8213.26,"Name, amount, and date all align closely."
INV-2024-00019,PMT-100020,fuzzy_name,622.79,622.79,Payer name 'Johnson S.' is a variant of 'Johnson and Sons'.
INV-2024-00020,,missing_payment,7615.6,0.0,No payment received for this invoice.
INV-2024-00021,PMT-100021,fuzzy_name,1860.53,1860.53,Payer name 'Donald  Booth' is a variant of 'Donald Booth'.
INV-2024-00022,PMT-100022,exact_match,1374.72,1374.72,"Name, amount, and date all align closely."
INV-2024-00023,PMT-100023,exact_match,4421.84,4421.84,"Name, amount, and date all align closely."
INV-2024-00024,PMT-100024,fuzzy_name,7685.81,7685.81,Payer name 'Lance  Hoffman' is a variant of 'Lance Hoffman'.
INV-2024-00025,PMT-100025,fuzzy_name,528.06,528.06,Payer name 'leah smith' is a variant of 'Leah Smith'.
INV-2024-00026,PMT-100026,date_mismatch,9207.01,9207.01,Payment arrived 74 days after the due date.
INV-2024-00027,PMT-100027,exact_match,1621.64,1621.64,"Name, amount, and date all align closely."
INV-2024-00028,PMT-100028,exact_match,2069.91,2069.91,"Name, amount, and date all align closely."
